표준버스정류장ID,역명,자치구,승차총승객수
113000422,홍대입구역(00025),마포구,3976503
121000019,고속터미널(00035),서초구,3569629
121000012,지하철2호선강남역(00013),서초구,3506466
120000674,구로디지털단지역(중)(00009),관악구,3304771
121000020,고속터미널(00011),서초구,3270679
108000012,미아사거리역(00047),강북구,2998974
116000013,구로디지털단지역(00055),구로구,2896908
120000421,신림사거리.신림역(00071),관악구,2880486
108000004,수유역.강북구청(00058),강북구,2836517
122000301,수서역(00014),강남구,2646333
116000001,신도림역(00023),구로구,2637133
107000008,돈암사거리.성신여대입구(00043),성북구,2509161
102000068,순천향대학병원(00044),용산구,2485594
118000027,경방타임스퀘어.신세계백화점(00021),영등포구,2458750
108000011,미아사거리역(00018),강북구,2367000
123000057,잠실역.롯데월드(00058),송파구,2340833
105000446,청량리역환승센터(00024),동대문구,2202242
121000011,지하철2호선강남역(00031),서초구,2150136
100000398,동대문역.흥인지문(00028),종로구,2110014
101000043,명동.롯데영프라자(00046),중구,2106302
101000041,롯데백화점(00037),중구,2033673
120000001,구로디지털단지역(00028),관악구,2030686
107000010,삼선교.한성대학교.조소앙활동터(00067),성북구,2029933
109000041,쌍문역.쌍리단길(00004),도봉구,2000768
121000213,양재역(00030),서초구,1979123
120900192,신림역4번출구(00011),관악구,1968437
100000389,종로2가(00030),종로구,1963820
120000228,서울대입구역(00022),관악구,1947963
101000004,서울역버스환승센터(00035),중구,1920066
108000378,수유역.강북구청(00013),강북구,1919716
113000414,홍대입구역(00046),마포구,1912545
102000004,신용산역(00040),용산구,1890311
105000015,청량리역환승센타(00025),동대문구,1877045
120000032,봉천사거리.봉천중앙시장(00008),관악구,1843775
105900027,회기역(00001),동대문구,1838436
100000023,광화문역2번출구.KT광화문지사(00013),종로구,1823771
123000045,잠실역1번.11번출구(00024),송파구,1794246
107000009,삼선교.한성대학교(00023),성북구,1765266
121000010,신분당선강남역(00055),서초구,1758216
100000390,종로3가.탑골공원(00065),종로구,1747196
108000005,수유시장.성신여대미아캠퍼스앞(00015),강북구,1739730
113000412,합정역(00055),마포구,1728424
121000014,논현역(00014),서초구,1725512
119000025,노량진역2번출구(00043),동작구,1722100
101000006,서울역버스환승센터(00036),중구,1720470
109000016,쌍문역(00079),도봉구,1705571
107000175,성신여대입구역(00068),성북구,1705529
113000416,신촌오거리.현대백화점(00052),마포구,1688531
120000052,신림사거리(00045),관악구,1631940
112000407,홍제역(중).서대문세무서(00014),서대문구,1614530
104000139,건대입구역사거리.건대병원(00015),광진구,1606826
100000388,종로2가(00025),종로구,1600318
122000089,봉은사역3번출구.삼성1파출소(00027),강남구,1591085
120000038,관악구청(00038),관악구,1585329
107000003,길음뉴타운(00020),성북구,1576492
119000010,노량진수산시장.CTS기독교TV(00021),동작구,1574099
102000009,숙대입구역(00042),용산구,1565675
100000386,종로1가(00024),종로구,1559242
105000488,청량리수산시장(00033),동대문구,1556964
117000003,금천우체국(00008),금천구,1552747
