NODE_ID,정류소명,자치구,노선목록,버스수,승차총승객수,avg_caralc,평균배차간격
100000001,종로2가사거리,종로구,"470, 741, N37",3,175792.0,60.0,30.0
100000002,창경궁.서울대학교병원,종로구,"100, 102, 104, 107, 140, 143, 150, 151, 160, 162, 171, 172, 272, 301, 6011, 710, 8101, 8111, N31, 새벽A160",20,929152.0,40.5,20.25
100000003,명륜3가.성대입구,종로구,"100, 102, 104, 107, 140, 143, 150, 151, 160, 162, 171, 172, 272, 301, 6011, 710, 8101, 8111, N31, 새벽A160",20,1463867.0,40.5,20.25
100000004,종로2가.삼일교,종로구,"01A, 470, 501, 701, 741, N37",6,301642.0,48.666666666666664,24.333333333333332
100000005,혜화동로터리.여운형활동터,종로구,"100, 102, 104, 107, 140, 143, 150, 151, 160, 162, 171, 172, 272, 710, 8101, 8111, N31, 새벽A160",18,664591.0,37.666666666666664,18.833333333333332
100000006,경기상고,종로구,"1711, 7016, 7018, 8002",4,175831.0,51.0,25.5
100000007,신교동,종로구,"1020, 1711, 7016, 7018, 7022, 7212, 8002",7,488558.0,47.42857142857143,23.714285714285715
100000008,경기상고,종로구,"1711, 7016, 7018, 8002, 8111",5,65016.0,44.4,22.2
100000009,경복고교,종로구,"1020, 7022, 7212",3,142593.0,42.666666666666664,21.333333333333332
100000010,청운중학교,종로구,"1020, 7022, 7212",3,23235.0,42.666666666666664,21.333333333333332
100000011,자하문고개.윤동주문학관,종로구,"1020, 7022, 7212",3,206887.0,42.666666666666664,21.333333333333332
100000012,자하문고개.윤동주문학관,종로구,"1020, 7022, 7212",3,27185.0,42.666666666666664,21.333333333333332
100000013,청운중학교,종로구,"1020, 7022, 7212",3,40879.0,42.666666666666664,21.333333333333332
100000014,경복고교,종로구,"1020, 7022, 7212",3,92405.0,42.666666666666664,21.333333333333332
100000015,통인시장종로구보건소,종로구,"1020, 1711, 7016, 7018, 7022, 7212, 8002",7,412526.0,47.42857142857143,23.714285714285715
100000016,통인시장종로구보건소,종로구,"1020, 1711, 7016, 7018, 7022, 7212, 8111",7,198987.0,35.714285714285715,17.857142857142858
100000017,효자동,종로구,"1020, 1711, 7016, 7018, 7022, 7212, 8111",7,130394.0,35.714285714285715,17.857142857142858
100000018,사직단.어린이도서관,종로구,"171, 272, 606, 7025, 708, 710, 종로05",7,393641.0,46.285714285714285,23.142857142857142
100000019,경복궁역1번출구,종로구,"171, 272, 606, 7025, 708, 710, 8002",7,1156136.0,54.285714285714285,27.142857142857142
100000020,경복궁역2번출구,종로구,"1020, 1711, 7016, 7018, 7022, 7212, 8002, 종로09",8,556169.0,46.5,23.25
100000021,경복궁역3번출구,종로구,"1020, 1711, 7016, 7018, 7022, 7212, 8111",7,1400499.0,35.714285714285715,17.857142857142858
100000022,경복궁,종로구,"1020, 109, 171, 272, 601, 606, 7025, 710, N51",9,406044.0,56.0,28.0
100000023,광화문역2번출구.KT광화문지사,종로구,"01A, 1020, 109, 1711, 606, 7016, 7018, 708, 7212, N51, 종로09, 종로11",12,1823771.0,49.666666666666664,24.833333333333332
100000025,광화문역6번출구,종로구,"600, 602, 603, 7019, 706, N75",6,362334.0,45.333333333333336,22.666666666666668
100000028,서울역사박물관.강북삼성병원,종로구,"101, 470, 601, 704, 720, 741, N37",7,352792.0,52.0,26.0
100000029,새문안교회,종로구,"470, 601",2,67129.0,44.0,22.0
100000030,광화문역7번출구,종로구,"704, N75",2,68291.0,90.0,45.0
100000031,세종문화회관,종로구,"1711, 401, 406, 700, 7016, 7018, 7022, 704, 7212, N51, 종로09, 종로11",12,720944.0,52.75,26.375
100000032,서울경찰청.경복궁역,종로구,"171, 272, 601, 606, 700, 7025, 703, 710",8,538073.0,53.0,26.5
100000033,사직단,종로구,"171, 272, 601, 606, 700, 7025, 703, 710",8,221946.0,53.0,26.5
100000034,광화문역6번출구.광화문빌딩,종로구,"700, 703, N51",3,75093.0,94.66666666666667,47.333333333333336
100000035,덕성여중고,종로구,"171, 272, 401, 406, 7022, 7025, 704, 710, 8111, N51",10,503107.0,52.7,26.35
100000036,안국역.서울공예박물관,종로구,"171, 272, 7025, 710, N51",5,337409.0,62.4,31.2
100000037,국민은행세검정지점,종로구,"7022, 7211, 7212, 7730",4,135426.0,48.0,24.0
100000038,세검정초등학교,종로구,"1020, 110B국민대, 163, 1711, 7022, 7212, 7730",7,460457.0,36.57142857142857,18.285714285714285
