rank,title,channel,view_count,like_count,comment_count,published_at,video_url,thumbnail,created_at,video_id
1,Not Like a Movie,H1-KEY - Topic,96263,1323,41,2026-01-05T09:03:22Z,https://www.youtube.com/watch?v=_UiZ-Uuw1ro,https://i.ytimg.com/vi/_UiZ-Uuw1ro/maxresdefault.jpg,2026-01-06 21:49:34,_UiZ-Uuw1ro
2,[군체] 30초 예고편,쇼박스 SHOWBOX,99986,1090,337,2026-01-05T22:30:05Z,https://www.youtube.com/watch?v=MWveUG9bZig,https://i.ytimg.com/vi/MWveUG9bZig/maxresdefault.jpg,2026-01-06 21:49:34,MWveUG9bZig
3,[데마시아를 위하여] 2026 시즌 오프닝 드래프트,LCK,680032,0,1385,2026-01-05T09:00:07Z,https://www.youtube.com/watch?v=CaJ3lSdCO_0,https://i.ytimg.com/vi/CaJ3lSdCO_0/maxresdefault.jpg,2026-01-06 21:49:34,CaJ3lSdCO_0
4,Love Me More,Apink - Topic,137140,2996,98,2026-01-05T09:01:39Z,https://www.youtube.com/watch?v=BnqvaC65vvM,https://i.ytimg.com/vi/BnqvaC65vvM/maxresdefault.jpg,2026-01-06 21:49:34,BnqvaC65vvM
5,이 사랑 통역 되나요? | 공식 예고편 | 넷플릭스,Netflix Korea 넷플릭스 코리아,359476,7460,738,2026-01-05T00:00:00Z,https://www.youtube.com/watch?v=IIHQ1Z2yu80,https://i.ytimg.com/vi/IIHQ1Z2yu80/maxresdefault.jpg,2026-01-06 21:49:34,IIHQ1Z2yu80
6,대상현,승상싱,415417,9593,824,2026-01-05T19:01:20Z,https://www.youtube.com/watch?v=gfP62pnjig0,https://i.ytimg.com/vi/gfP62pnjig0/maxresdefault.jpg,2026-01-06 21:49:34,gfP62pnjig0
7,Punk Rocky,A$AP Rocky - Topic,224308,10668,543,2026-01-05T20:00:43Z,https://www.youtube.com/watch?v=hVWyWH-caAE,https://i.ytimg.com/vi/hVWyWH-caAE/maxresdefault.jpg,2026-01-06 21:49:34,hVWyWH-caAE
8,"[15회 예고] “대위, 김도기” 이제훈을 찾아온 의문의 군인🫡 그리고 버려진 모범택시를 발견한 표예진?! | 모범택시3 | SBS",SBS ,45214,445,71,2026-01-03T14:15:06Z,https://www.youtube.com/watch?v=uAt34ypXTvw,https://i.ytimg.com/vi/uAt34ypXTvw/maxresdefault.jpg,2026-01-06 21:49:34,uAt34ypXTvw
9,"위기의 넛저밧, 구원투수 사부님 출격!【넛저밧 합숙 EP.05】",저라뎃 JUSTLIKETHAT,136853,1021,177,2026-01-06T03:01:10Z,https://www.youtube.com/watch?v=tSIKGJRl1Gk,https://i.ytimg.com/vi/tSIKGJRl1Gk/maxresdefault.jpg,2026-01-06 21:49:34,tSIKGJRl1Gk
10,Kotonoha,tuki. - Topic,35350,1088,26,2026-01-05T10:01:43Z,https://www.youtube.com/watch?v=yvWGrak_vvU,https://i.ytimg.com/vi/yvWGrak_vvU/maxresdefault.jpg,2026-01-06 21:49:34,yvWGrak_vvU
11,여섯 개의 별을 새기며｜2025 Worlds Behind,T1,683069,18607,2135,2026-01-04T14:00:07Z,https://www.youtube.com/watch?v=or7Xc8tZg-g,https://i.ytimg.com/vi/or7Xc8tZg-g/maxresdefault.jpg,2026-01-06 21:49:34,or7Xc8tZg-g
12,When it turns white,entoy - Topic,101405,1814,37,2025-12-18T09:02:49Z,https://www.youtube.com/watch?v=Nhs9NKQ0-8E,https://i.ytimg.com/vi/Nhs9NKQ0-8E/maxresdefault.jpg,2026-01-06 21:49:34,Nhs9NKQ0-8E
13,사람 살리러 왔습니다,랄로,440941,4001,815,2026-01-05T09:12:05Z,https://www.youtube.com/watch?v=w637lPH_b8M,https://i.ytimg.com/vi/w637lPH_b8M/maxresdefault.jpg,2026-01-06 21:49:34,w637lPH_b8M
14,Every Moment Of You (Original),Sung Si-kyung - Topic,222328,760,22,2025-12-31T15:02:55Z,https://www.youtube.com/watch?v=izssDYTMXis,https://i.ytimg.com/vi/izssDYTMXis/maxresdefault.jpg,2026-01-06 21:49:34,izssDYTMXis
15,"전 프로게이머 , 현 방송인이랑 롤하다 대판 싸웠습니다...",가재맨,169178,2422,712,2026-01-05T15:00:45Z,https://www.youtube.com/watch?v=BWnivBjeg1Q,https://i.ytimg.com/vi/BWnivBjeg1Q/maxresdefault.jpg,2026-01-06 21:49:34,BWnivBjeg1Q
16,I Believe Change Street Version,TAEHYUN - Topic,52020,816,0,2026-01-03T03:04:03Z,https://www.youtube.com/watch?v=FDjb834LcWw,https://i.ytimg.com/vi/FDjb834LcWw/maxresdefault.jpg,2026-01-06 21:49:34,FDjb834LcWw
17,"큰일 났습니다...리뷰 1400개가 극찬인 ""블랙홀 키우기"" 밤새 하고있음ㅠㅠㅠ",혜안,343791,7223,766,2026-01-05T10:24:00Z,https://www.youtube.com/watch?v=7Lcz0wxGgI8,https://i.ytimg.com/vi/7Lcz0wxGgI8/maxresdefault.jpg,2026-01-06 21:49:34,7Lcz0wxGgI8
18,I Love You,AKMU - Topic,63119,145,8,2025-12-31T15:02:04Z,https://www.youtube.com/watch?v=s4PO3Wgftu8,https://i.ytimg.com/vi/s4PO3Wgftu8/maxresdefault.jpg,2026-01-06 21:49:34,s4PO3Wgftu8
